,Sr No,Date,Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount in USD,Funding_Category,Amount in Rs(Cr),Funding_Round,Investor_Rank_x,Power_Score_x,Investor_Rank_y,Power_Score_y,Influence_Index,Final_Rank
45,30,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"""  kalaari capital""",series b,283000000,Very Large,2574.451,Series B,22,0.993294216,22,0.993294216,0.135257976,26
46,31,19-11-2019,Furtados School of Music,Education,Music Education,Tulangan,"""ian fund and dsg consumer partners""",nan,200000000,Very Large,1819.4,Other,58,0.980581168,58,0.980581168,0.057325232,70
47,32,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,"""vijay shekhar sharma""",funding round,1000000000,Very Large,9097,Other,8,0.997485331,8,0.997485331,0.172771708,15
48,33,04-10-2019,Dunzo,Customer Service,Delivery Service,Bengaluru,"""lightbox""",series d,45000000,Very Large,409.365,Other,144,0.936295054,144,0.936295054,0.017634719,256
49,34,02-10-2019,Udaan,B2B,Business development,Bengaluru,"""altimeter capital""",series d,585000000,Very Large,5321.745,Other,14,0.995808885,14,0.995808885,0.14901634,19
50,34,02-10-2019,Udaan,B2B,Business development,Bengaluru,"""  dst global""",series d,585000000,Very Large,5321.745,Other,7,0.997764739,7,0.997764739,0.199884658,11
51,35,21-10-2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,"""ayushmann khurana""",corporate round,1750000,Large,15.91975,Other,495,0.431824532,495,0.431824532,0.004172892,648
52,36,05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,"""matrix partners india""",maiden round,4500000,Large,40.9365,Other,197,0.89745739,197,0.89745739,0.033743974,143
53,36,05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,"""  sequoia india""",maiden round,4500000,Large,40.9365,Other,111,0.952221291,111,0.952221291,0.033774374,142
54,37,04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,"""saif partners""",series a,3300000,Large,30.0201,Series A,76,0.970382788,76,0.970382788,0.117198843,33
55,38,04-09-2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,"""tiw private equity""",private equity round,6000000,Very Large,54.582,Private Equity,377,0.751606594,377,0.751606594,0.00531235,598
56,39,04-09-2019,3rdFlix,SaaS,Education Technology,Hyderabad,"""exfinity venture partners""",pre-series a,5000000,Large,45.485,Series A,238,0.862531433,238,0.862531433,0.028693441,170
57,40,04-09-2019,75F,IoT,Building automation system,Burnsville,"""breakthrough energy ventures""",series a,18000000,Very Large,163.746,Series A,247,0.858340319,247,0.858340319,0.008529641,462
58,41,04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,"""endiya partners""",seed,1000000,Medium,9.097,Seed,358,0.762503493,358,0.762503493,0.019593734,231
59,42,04-09-2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,"""a91 partners""",series a,10000000,Very Large,90.97,Series A,321,0.794775077,321,0.794775077,0.00638478,570
60,43,04-09-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,"""bennett coleman and company ltd (bccl)""",series c,450000000,Very Large,4093.65,Series C,28,0.991198659,28,0.991198659,0.124352143,31
61,44,03-09-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"""india quotient""",series a,5000000,Large,45.485,Series A,252,0.856105057,252,0.856105057,0.046823128,88
62,44,03-09-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"""  axilor ventures""",series a,5000000,Large,45.485,Series A,246,0.859457949,246,0.859457949,0.035880613,126
63,45,01-08-2019,CarDekho,E-Commerce,Automotive,Gurgaon,"""sc gg india mobility holdings llc""",series c,20000000,Very Large,181.94,Series C,231,0.867421067,231,0.867421067,0.009065857,447
64,46,01-08-2019,Progcap,Finance,Supply Chain Management,New Delhi,"""sequoia india""",series a,5000000,Large,45.485,Series A,31,0.990220732,31,0.990220732,0.116842208,34
65,47,01-08-2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,nan,seed funding round,1600000,Large,14.5552,Seed,18,0.994411847,18,0.994411847,0.171691808,16
66,48,01-08-2019,Alteria Capital,Finance,VC Funds,Mumbai,"""azim premji""",single venture,140000000,Very Large,1273.58,Other,73,0.971500419,73,0.971500419,0.041238774,108
67,48,01-08-2019,Alteria Capital,Finance,VC Funds,Mumbai,"""  binny bansal""",single venture,140000000,Very Large,1273.58,Other,62,0.978765018,62,0.978765018,0.065167309,59
68,49,01-08-2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,"""pine labs pte ltd""",corporate round,38080000,Very Large,346.41376,Other,167,0.92008941,167,0.92008941,0.013913243,321
69,50,12-08-2019,Meesho,E-Commerce,Social Commerce,Bengaluru,"""naspers""",series d,125000000,Very Large,1137.125,Other,46,0.986029617,46,0.986029617,0.062280498,64
70,51,13-08-2019,Cars24,E-Commerce,Car Retail,Gurugram,"""ms dhoni""",series d,11000000,Very Large,100.067,Other,315,0.805671975,315,0.805671975,0.006652888,568
71,52,13-08-2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,"""march capital partners""",series c,51000000,Very Large,463.947,Series C,103,0.956412406,103,0.956412406,0.024927579,191
72,53,23-08-2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,"""xl innovate""",series b,37000000,Very Large,336.589,Series B,171,0.918692372,171,0.918692372,0.013623687,323
73,54,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"""rashmi daga (founder""",seed round,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
74,54,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"""  freshmenu)""",seed round,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
75,54,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"""  raveen sastry (co-founder""",seed round,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
76,54,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"""  myntra) and mitesh shah (finance chief""",seed round,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
77,54,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"""  bookmyshow)""",seed round,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
78,55,23-08-2019,Tala,FinTech,Digital Lending Platform,Santa Monica,"""rps ventures""",series d,110000000,Very Large,1000.67,Other,86,0.965632858,86,0.965632858,0.033195545,147
79,56,22-08-2019,INDwealth,FinTech,Wealth Management,Gurgaon,"""tiger global management""",venture round,15000000,Very Large,136.455,Other,19,0.994132439,19,0.994132439,0.143208742,23
80,57,21-08-2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,"""one97 communications ltd.""",series c,6590000,Very Large,59.94923,Series C,366,0.759430008,366,0.759430008,0.005470533,592
81,58,23-08-2019,AdmitKard,EdTech,University Admissions,Noida,"""growth dna""",seed round,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
82,59,19-08-2019,Mishry Reviews,Services,Product Review,Gurgaon,"""vir sanghvi""",series a,1750000,Large,15.91975,Series A,495,0.431824532,495,0.431824532,0.004172892,648
83,60,19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,"""softbank vision fund""",series f,70000000,Very Large,636.79,Other,10,0.996926516,10,0.996926516,0.151795848,17
84,61,27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,"""westbridge capital""",series b,3900000000,Very Large,35478.3,Series B,1,1,1,1,0.701206349,1
85,62,02-07-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"""lok capital""",series b,19000000,Very Large,172.843,Series B,228,0.871053367,228,0.871053367,0.011537668,397
86,62,02-07-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"""  iifl wealth""",series b,19000000,Very Large,172.843,Series B,238,0.862531433,238,0.862531433,0.008797749,452
87,63,02-07-2019,Atlan,Information Technology,Big Data,Singapore,"""waterbridge ventures""",pre-series a,2500000,Large,22.7425,Series A,399,0.720312937,399,0.720312937,0.011958172,363
88,64,01-07-2019,WizCounsel,Compliance,Consulting,New Delhi,"""kapil dev""",angel,145000,Medium,1.319065,Seed,645,0.03101425,645,0.03101425,0.003742579,784
89,65,03-07-2019,Ola Cabs,Transport,Cabs,Kormangala,"""dig investment ab""",series j,1000000,Medium,9.097,Other,517,0.24015088,517,0.24015088,0.003971811,664
90,65,03-07-2019,Ola Cabs,Transport,Cabs,Kormangala,"""  deshe holdings""",series j,1000000,Medium,9.097,Other,517,0.24015088,517,0.24015088,0.003971811,664
91,65,03-07-2019,Ola Cabs,Transport,Cabs,Kormangala,"""  samih toukan and hussam khoury""",series j,1000000,Medium,9.097,Other,517,0.24015088,517,0.24015088,0.003971811,664
92,66,01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,"""march capital partners""",series c,38080000,Very Large,346.41376,Series C,103,0.956412406,103,0.956412406,0.024927579,191
93,67,04-07-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,"""artha venture""",seed round,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
94,68,10-07-2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,"""qatar investment authority""",private equity round,150000000,Very Large,1364.55,Private Equity,69,0.974573903,69,0.974573903,0.04391985,97
95,69,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"""composite capital management""",series d,60000000,Very Large,545.82,Other,127,0.944397877,127,0.944397877,0.019790162,229
96,69,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"""  sequoia capital india""",series d,60000000,Very Large,545.82,Other,30,0.99050014,30,0.99050014,0.08900341,46
97,69,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"""  tiger global management""",series d,60000000,Very Large,545.82,Other,59,0.979603241,59,0.979603241,0.045559089,94
98,70,10-07-2019,Ezyhaul,Tech,Logistics,Singapore,"""undisclosed""",series b,16000000,Very Large,145.552,Series B,191,0.906119028,191,0.906119028,0.045014353,95
99,71,10-07-2019,Indus OS,Tech,Smartphone Operating System,Andheri,"""ventureast""",series b,5750000,Very Large,52.30775,Series B,254,0.855406538,254,0.855406538,0.021156565,217
100,72,10-07-2019,HealthAssure,Health Care,Primary care medical network,Mumbai,"""blume ventures""",series a,2500000,Large,22.7425,Series A,183,0.911427773,183,0.911427773,0.100645137,39
101,73,09-07-2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,"""binny bansal""",series a,1000000,Medium,9.097,Series A,482,0.586197262,482,0.586197262,0.007800766,513
102,74,08-07-2019,Board Infinity,EdTech,Full-stack career platform,Chembur,"""multiple angel investors""",angel round,319605,Medium,2.907446685,Seed,590,0.119307069,590,0.119307069,0.003789392,731
103,75,05-06-2019,NoBroker,E-Commerce,Real Estate,Bengaluru,"""general atlantic""",series c,51000000,Very Large,463.947,Series C,145,0.935456832,145,0.935456832,0.017377194,260
104,76,04-06-2019,Bira91,Food and Beverage,Brewery,New Delhi,"""anicut capital""",debt funding,10000000,Very Large,90.97,Debt,263,0.850516904,263,0.850516904,0.013946172,320
105,77,03-06-2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"""goldman sachs""",nan,4889975.54,Large,44.48410749,Other,44,0.986588433,44,0.986588433,0.06781819,58
106,77,03-06-2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"""  accel partners and qualcomm""",nan,4889975.54,Large,44.48410749,Other,400,0.720033529,400,0.720033529,0.005014744,607
107,78,03-06-2019,Avail Finance,Finance,FinTech,Bengaluru,"""matrix partners""",series a,9000000,Very Large,81.873,Series A,41,0.987426655,41,0.987426655,0.093792908,42
108,79,04-06-2019,BharatPe,Finance,FinTech,New Delhi,"""insight partners""",series b,75000000,Very Large,682.275,Series B,113,0.950544845,113,0.950544845,0.023811777,202
109,80,04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"""triton investment advisors""",pre-series a,26000000,Very Large,236.522,Series A,201,0.896060352,201,0.896060352,0.012865252,339
110,80,04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"""  pidilite industries director ajay parekh""",pre-series a,26000000,Very Large,236.522,Series A,204,0.893685387,204,0.893685387,0.010674502,426
111,81,03-06-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,"""blume ventures and rtp global""",pre-series a,2500000,Large,22.7425,Series A,457,0.62154233,457,0.62154233,0.004373973,636
112,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""shell foundation""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
113,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  dila capital""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
114,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  engie rde fund""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
115,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  ecoenterprise fund""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
116,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  edfimc (electrifi)""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
117,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  endeavor catalyst fund""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
118,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  cocapital""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
119,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  triodos""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
120,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  alpha mundi""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
121,82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"""  and lendahand""",nan,2739034.68,Large,24.91699848,Other,449,0.631601006,449,0.631601006,0.00443806,633
122,83,06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,"""ian fund""",series a,26000000,Very Large,236.522,Series A,196,0.898435317,196,0.898435317,0.013111101,334
123,84,06-06-2019,Pratilipi,Digital Media,E-Books,Bengaluru,"""qiming venture partners""",series b,15109500,Very Large,137.4511215,Series B,279,0.84269349,279,0.84269349,0.007754676,524
124,85,10-06-2019,Bolo App,Digital Media,Video Platform,Bengaluru,"""nexus venture partners""",seed funding,430200,Medium,3.9135294,Seed,97,0.958368259,97,0.958368259,0.087019523,49
125,86,10-06-2019,OkCredit,FinTech,Financial Services,Haryana,"""tiger global management""",series a,15500000,Very Large,141.0035,Series A,19,0.994132439,19,0.994132439,0.143208742,23
126,87,06-06-2019,Biz2Credit,FinTech,Online Lending Platform,New York,"""westbridge capital""",series b,52000000,Very Large,473.044,Series B,1,1,1,1,0.701206349,1
127,88,08-06-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,"""alteria capital""",debt funding,3584000,Large,32.603648,Debt,324,0.787091366,324,0.787091366,0.012786909,341
128,89,04-06-2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,"""mumbai angels""",series a,3400000,Large,30.9298,Series A,123,0.946633138,123,0.946633138,0.045946424,91
129,90,06-05-2019,Ola Electric,Transport,Cabs,Bengaluru,"""tata sons""",series a,1750000,Large,15.91975,Series A,495,0.431824532,495,0.431824532,0.004172892,648
130,91,06-05-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,"""c4d partners""",venture - series unknown,868600,Medium,7.9016542,Other,524,0.216261526,524,0.216261526,0.003936582,670
131,92,05-05-2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"""indian angel network and other angel investors""",bridge round,1750000,Large,15.91975,Other,495,0.431824532,495,0.431824532,0.004172892,648
132,92,05-05-2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"""  innov8 founder ritesh malik""",bridge round,1750000,Large,15.91975,Other,495,0.431824532,495,0.431824532,0.004172892,648
133,92,05-05-2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"""  josh talks founders supriya paul and shobha banga""",bridge round,1750000,Large,15.91975,Other,495,0.431824532,495,0.431824532,0.004172892,648
134,92,05-05-2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"""  and former hero corporate president rohit chanana""",bridge round,1750000,Large,15.91975,Other,495,0.431824532,495,0.431824532,0.004172892,648
135,93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,"""goldman sachs investment partners and silicon valley-based accel""",series d,150000000,Very Large,1364.55,Other,69,0.974573903,69,0.974573903,0.04391985,97
136,93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,"""  wellington""",series d,150000000,Very Large,1364.55,Other,69,0.974573903,69,0.974573903,0.04391985,97
137,93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,"""  sequoia capital""",series d,150000000,Very Large,1364.55,Other,6,0.998044146,6,0.998044146,0.251328063,8
138,93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,"""  b capital""",series d,150000000,Very Large,1364.55,Other,69,0.974573903,69,0.974573903,0.04391985,97
139,93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,"""  lightstreet""",series d,150000000,Very Large,1364.55,Other,69,0.974573903,69,0.974573903,0.04391985,97
140,93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,"""  sands capital and international finance corporation""",series d,150000000,Very Large,1364.55,Other,69,0.974573903,69,0.974573903,0.04391985,97
141,93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,""" """,series d,150000000,Very Large,1364.55,Other,36,0.988823694,36,0.988823694,0.265038638,6
142,94,02-05-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,"""tiger global management""",series c,50000000,Very Large,454.85,Series C,19,0.994132439,19,0.994132439,0.143208742,23
143,95,28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,"""sachin bansal""",series c,51000000,Very Large,463.947,Series C,121,0.947191953,121,0.947191953,0.028709221,169
